               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024028,             0.01387,           0.0084892,             0.74409,             0.76279,             0.82459,             0.54504,            0.018213,           0.0047703,           0.0037393,           0.0082675,           0.0082675,           0.0082675
                  37,            0.024779,            0.013779,           0.0065642,             0.75335,             0.88405,             0.86329,             0.61252,            0.014405,           0.0043295,            0.003177,            0.008218,            0.008218,            0.008218
                  38,            0.025321,            0.013583,           0.0061132,             0.78689,             0.88915,             0.87569,              0.6229,             0.01588,           0.0042064,           0.0028316,           0.0081685,           0.0081685,           0.0081685
                  39,            0.025184,            0.012952,           0.0065049,             0.77095,             0.83476,             0.86009,             0.63546,            0.015986,           0.0043121,           0.0033431,            0.008119,            0.008119,            0.008119
                  40,            0.022856,            0.013272,           0.0048956,              0.7389,             0.85568,             0.85129,             0.60068,            0.016362,           0.0043542,           0.0033737,           0.0080695,           0.0080695,           0.0080695
                  41,            0.023666,             0.01304,           0.0052642,             0.75107,             0.88214,             0.85464,             0.62347,            0.014253,            0.004221,           0.0024529,             0.00802,             0.00802,             0.00802
                  42,            0.023913,            0.013146,           0.0052035,              0.7869,             0.88672,             0.88395,             0.63017,            0.015423,           0.0041851,           0.0028076,           0.0079705,           0.0079705,           0.0079705
                  43,            0.025455,              0.0129,           0.0057869,             0.74615,             0.82417,             0.82589,              0.6103,            0.015813,           0.0041763,           0.0028649,            0.007921,            0.007921,            0.007921
                  44,            0.026548,            0.013298,            0.005787,             0.78364,             0.85219,             0.84186,             0.59692,            0.014645,           0.0044951,           0.0037498,           0.0078715,           0.0078715,           0.0078715
                  45,            0.023051,            0.013189,           0.0053331,             0.75229,             0.86796,             0.83009,             0.62065,            0.014917,           0.0043624,           0.0030814,            0.007822,            0.007822,            0.007822
                  46,            0.023852,            0.013161,           0.0065665,             0.79436,             0.89104,             0.88261,             0.65148,            0.014166,           0.0041755,           0.0020282,           0.0077725,           0.0077725,           0.0077725
                  47,            0.025067,            0.012738,           0.0060119,             0.78338,             0.90006,             0.87477,             0.62844,            0.015359,           0.0040975,           0.0031327,            0.007723,            0.007723,            0.007723
